x=(0.935050,-0.125531 ), f(x)=1.935334
x=(-0.085073,0.712234 ), f(x)=-1.031540
x=(-0.085073,0.712234 ), f(x)=-1.031540
x=(-0.085073,0.712234 ), f(x)=-1.031540
x=(-0.085073,0.712234 ), f(x)=-1.031540
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089457,0.712421 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089699,0.712681 ), f(x)=-1.031628
x=(-0.089698,0.712660 ), f(x)=-1.031628
x=(-0.089718,0.712678 ), f(x)=-1.031628
x=(-0.089718,0.712678 ), f(x)=-1.031628
x=(-0.089747,0.712664 ), f(x)=-1.031628
x=(-0.089747,0.712664 ), f(x)=-1.031628
x=(-0.089747,0.712664 ), f(x)=-1.031628
x=(-0.089747,0.712664 ), f(x)=-1.031628
x=(-0.089747,0.712664 ), f(x)=-1.031628
x=(-0.089747,0.712664 ), f(x)=-1.031628
x=(-0.089759,0.712645 ), f(x)=-1.031628
x=(-0.089759,0.712645 ), f(x)=-1.031628
x=(-0.089759,0.712645 ), f(x)=-1.031628
x=(-0.089759,0.712645 ), f(x)=-1.031628
x=(-0.089772,0.712642 ), f(x)=-1.031628
x=(-0.089808,0.712646 ), f(x)=-1.031628
x=(-0.089808,0.712646 ), f(x)=-1.031628
x=(-0.089819,0.712668 ), f(x)=-1.031628
x=(-0.089831,0.712665 ), f(x)=-1.031628
x=(-0.089831,0.712665 ), f(x)=-1.031628
x=(-0.089853,0.712650 ), f(x)=-1.031628
x=(-0.089853,0.712650 ), f(x)=-1.031628
x=(-0.089853,0.712650 ), f(x)=-1.031628
x=(-0.089853,0.712650 ), f(x)=-1.031628
x=(-0.089843,0.712652 ), f(x)=-1.031628
x=(-0.089843,0.712652 ), f(x)=-1.031628
x=(-0.089843,0.712652 ), f(x)=-1.031628
x=(-0.089843,0.712652 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712658 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712656 ), f(x)=-1.031628
x=(-0.089840,0.712657 ), f(x)=-1.031628
x=(-0.089841,0.712657 ), f(x)=-1.031628
x=(-0.089841,0.712657 ), f(x)=-1.031628
x=(-0.089841,0.712657 ), f(x)=-1.031628
x=(-0.089841,0.712657 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
