x=(-2.204960,1.282083 ), f(x)=9.521502
x=(-0.089816,0.712628 ), f(x)=-1.031628
x=(-0.089826,0.712637 ), f(x)=-1.031628
x=(-0.089826,0.712637 ), f(x)=-1.031628
x=(-0.089826,0.712637 ), f(x)=-1.031628
x=(-0.089826,0.712637 ), f(x)=-1.031628
x=(-0.089826,0.712637 ), f(x)=-1.031628
x=(-0.089826,0.712637 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089833,0.712668 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712654 ), f(x)=-1.031628
x=(-0.089837,0.712657 ), f(x)=-1.031628
x=(-0.089837,0.712657 ), f(x)=-1.031628
x=(-0.089837,0.712657 ), f(x)=-1.031628
x=(-0.089837,0.712657 ), f(x)=-1.031628
x=(-0.089840,0.712659 ), f(x)=-1.031628
x=(-0.089840,0.712659 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089839,0.712657 ), f(x)=-1.031628
x=(-0.089843,0.712657 ), f(x)=-1.031628
x=(-0.089843,0.712657 ), f(x)=-1.031628
x=(-0.089843,0.712657 ), f(x)=-1.031628
x=(-0.089843,0.712657 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712657 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
x=(-0.089842,0.712656 ), f(x)=-1.031628
